HOG	OG	Gene Tree Parent Clade	GCA_000014625.1	GCA_001077675.1	GCF_000006765.1	GCF_000007805.1	GCF_000009225.2	GCF_000012265.1	GCF_000013785.1	GCF_000017205.1	GCF_000026105.1	GCF_000026645.1	GCF_000046845.1	GCF_000145845.1	GCF_000145845.2	GCF_000145885.1	GCF_000146005.2	GCF_000164015.3	GCF_000172895.1	GCF_000194805.1	GCF_000204295.1	GCF_000219605.1	GCF_000237045.1	GCF_000280575.1	GCF_000293885.2	GCF_000319815.1	GCF_000327065.1	GCF_000344475.3	GCF_000349845.1	GCF_000397205.1	GCF_000413935.1	GCF_000452445.2	GCF_000452705.1	GCF_000452745.2	GCF_000510285.1	GCF_000568855.2	GCF_000696345.2	GCF_000746525.1	GCF_000759535.1	GCF_000761155.1	GCF_000813225.1	GCF_000825645.2	GCF_000828695.1	GCF_000988485.1	GCF_001020725.2	GCF_001042905.1	GCF_001269655.1	GCF_001297075.1	GCF_001400495.1	GCF_001400675.1	GCF_001412045.1	GCF_001449085.1	GCF_001477425.1	GCF_001482725.1	GCF_001515585.1	GCF_001518815.1	GCF_001543125.1	GCF_001547895.1	GCF_001547915.1	GCF_001594225.1	GCF_001605965.1	GCF_001641345.1	GCF_001647715.1	GCF_001655295.1	GCF_001655595.1	GCF_001655615.1	GCF_001661075.1	GCF_001682515.1	GCF_001708425.1	GCF_001708505.1	GCF_001730655.1	GCF_001839655.2	GCF_002007785.1	GCF_002024285.1	GCF_002091695.1	GCF_002287865.1	GCF_002318885.1	GCF_002355315.1	GCF_002356535.2	GCF_002362295.1	GCF_002442555.1	GCF_002688705.1	GCF_002736065.1	GCF_002741095.1	GCF_002864795.1	GCF_002884415.1	GCF_002905795.1	GCF_002941105.1	GCF_002966555.1	GCF_002966835.1	GCF_002980135.1	GCF_003047185.1	GCF_003410335.1	GCF_003413075.1	GCF_003415775.1	GCF_003626995.1	GCF_003671865.1	GCF_003699405.1	GCF_003699955.1	GCF_003700835.1	GCF_003850385.1	GCF_003850425.1	GCF_003851145.1	GCF_003851385.1	GCF_003851985.1	GCF_003852025.1	GCF_003940825.1	GCF_004124255.1	GCF_004135995.1	GCF_004348895.1	GCF_004683905.1	GCF_004745455.1	GCF_005080685.1	GCF_005281455.1	GCF_007833495.1	GCF_008370715.1	GCF_008693965.1	GCF_008801455.1	GCF_008801565.1	GCF_009362955.1	GCF_009497895.1	GCF_009740185.1	GCF_009755645.1	GCF_009903285.1	GCF_009911755.1	GCF_011040435.1	GCF_011397855.1	GCF_011466835.1	GCF_011765175.1	GCF_012971725.1	GCF_013200955.1	GCF_013347965.1	GCF_013374995.1	GCF_013393345.1	GCF_013403585.1	GCF_013409125.2	GCF_013425825.1	GCF_013778535.1	GCF_013911125.1	GCF_014076455.1	GCF_014190825.1	GCF_014268275.2	GCF_014268375.2	GCF_014268445.1	GCF_014268455.2	GCF_014268485.2	GCF_014268495.1	GCF_014268585.2	GCF_014268595.1	GCF_014268695.2	GCF_014268755.2	GCF_014268885.2	GCF_014269025.1	GCF_014269225.2	GCF_014522265.1	GCF_014656565.1	GCF_014855475.1	GCF_014863585.1	GCF_014863605.1	GCF_015476275.1	GCF_015712065.1	GCF_016134935.1	GCF_016599635.1	GCF_016861485.1	GCF_017166425.1	GCF_017167965.1	GCF_017798225.1	GCF_017915135.1	GCF_018388545.1	GCF_018417575.1	GCF_019139535.1	GCF_019139675.1	GCF_019139795.1	GCF_019139815.1	GCF_019139835.1	GCF_019139855.1	GCF_019139895.1	GCF_019141525.1	GCF_019285655.1	GCF_019334485.1	GCF_019614655.1	GCF_019693255.1	GCF_019719375.1	GCF_019879085.1	GCF_020025155.1	GCF_020204845.1	GCF_020422905.1	GCF_020424105.1	GCF_020917325.1	GCF_021029445.1	GCF_021233455.1	GCF_021389915.1	GCF_021398855.1	GCF_021432765.1	GCF_021495345.1	GCF_021601925.1	GCF_021605025.1	GCF_021654315.1	GCF_021725455.1	GCF_022026035.1	GCF_022049085.1	GCF_022510205.1	GCF_022533565.1	GCF_022557235.1	GCF_022807995.1	GCF_022870785.1	GCF_023207855.1	GCF_023277925.1	GCF_024023035.1	GCF_024072295.1	GCF_024397895.1	GCF_024413275.1	GCF_024448735.1	GCF_900104805.1	GCF_900104915.1	GCF_900104945.1	GCF_900105005.1	GCF_900105255.1	GCF_900105485.1	GCF_900105655.1	GCF_900105885.1	GCF_900105995.1	GCF_900106015.1	GCF_900106045.1	GCF_900116605.1	GCF_900188285.1	GCF_900235895.1	GCF_900475215.1	GCF_900475285.1	GCF_900601635.1	GCF_900625045.1	GCF_900626055.1	GCF_900636845.1	GCF_900636995.1	GCF_900682675.1	GCF_901482615.1
N207.HOG0000000	OG0000000	n13																		WP_013693655.1																																WP_060613965.1																																																																WP_003203140.1																																		WP_186649924.1																																										WP_013693655.1																																												
N207.HOG0000001	OG0000000	n97																		WP_003197551.1																																WP_003197551.1																																																																WP_003197551.1																																		WP_079302023.1																																										WP_100264384.1																																												
N207.HOG0000002	OG0000000	n336																		WP_003201098.1																																WP_060613801.1																																																																WP_003201098.1																																		WP_186650777.1																																										WP_003201098.1																																												
N207.HOG0000003	OG0000000	n396																		WP_003201095.1																																WP_014338514.1																																																																WP_003201095.1																																		WP_014338514.1																																										WP_003201095.1																																												
N207.HOG0000004	OG0000000	n433																		WP_003207055.1																																WP_003207055.1																																																																WP_003207055.1																																		WP_046063362.1																																										WP_003207055.1																																												
N207.HOG0000005	OG0000000	n631																		WP_013694183.1																																WP_013694183.1																																																																WP_003205387.1																																		WP_079302589.1																																										WP_100264014.1																																												
N207.HOG0000006	OG0000000	n774																		WP_003204995.1																																WP_003204995.1																																																																WP_003204995.1																																		WP_186650389.1																																										WP_003204995.1																																												
N207.HOG0000007	OG0000000	n991																		WP_003196472.1																																WP_003196472.1																																																																WP_003196472.1																																		WP_095963405.1																																										WP_003196472.1																																												
N207.HOG0000008	OG0000000	n1274																																																																																																																																																				WP_186650970.1																																																																																						
N207.HOG0000009	OG0000000	n1420																		WP_003201547.1																																WP_003201547.1																																																																WP_003201547.1																																		WP_095962494.1																																										WP_003201547.1																																												
N207.HOG0000010	OG0000000	n1521																		WP_013693186.1																																WP_003201254.1																																																																WP_003201254.1																																		WP_041475961.1																																																																																						
N207.HOG0000011	OG0000000	n1544																		WP_013693714.1																																WP_013693714.1																																																																WP_003203398.1																																		WP_079302265.1																																										WP_013693714.1																																												
N207.HOG0000012	OG0000000	n1910																		WP_013694007.1																																WP_013694007.1																																																																WP_003204310.1																																		WP_079304867.1																																										WP_053163090.1																																												
N207.HOG0000013	OG0000000	n2185																		WP_013693793.1																																WP_013693793.1																																																																WP_003203691.1																																																																												WP_013693793.1																																												
N207.HOG0000014	OG0000000	n2203																		WP_013693675.1																																WP_060613970.1																																																																WP_003203208.1																																		WP_003203208.1																																										WP_100264068.1																																												
N207.HOG0000015	OG0000000	n2334																		WP_013692389.1																																WP_003198274.1																																																																WP_003198274.1																																		WP_014336804.1																																										WP_003198274.1																																												
N207.HOG0000016	OG0000000	n2563																																																		WP_060613961.1																																																																																																																																												WP_028237308.1																																												
N207.HOG0000017	OG0000000	n2653																																																																																																																																																				WP_079303389.1																																																																																						
N207.HOG0000018	OG0000000	n2766																		WP_013693517.1																																WP_003202536.1																																																																WP_013693517.1																																		WP_095961923.1																																										WP_013693517.1																																												
N207.HOG0000019	OG0000000	n2857																																																																																																																																																				WP_186650238.1																																																																																						
N207.HOG0000020	OG0000000	n2901																		WP_013693364.1																																WP_003201875.1																																																																WP_003201875.1																																		WP_079303393.1																																										WP_003201875.1																																												
N207.HOG0000021	OG0000000	n3062																		WP_013692056.1																																WP_013692056.1																																																																WP_013692056.1																																																																												WP_013692056.1																																												
N207.HOG0000022	OG0000000	n3133																		WP_013693682.1																																																																																																WP_003203219.1																																		WP_186649871.1																																										WP_003203219.1																																												
N207.HOG0000023	OG0000000	n3261																		WP_013693113.1																																WP_003200985.1																																																																WP_003200985.1																																		WP_079301811.1																																										WP_013693113.1																																												
N207.HOG0000024	OG0000000	n3365																		WP_003196673.1																																WP_003196673.1																																																																WP_003196673.1																																		WP_046065262.1																																										WP_003196673.1																																												
N207.HOG0000025	OG0000000	n3405																		WP_013692774.1																																																																																																																																																																																																																								
N207.HOG0000026	OG0000001	n18																		WP_013693374.1																																WP_013693374.1																																																																WP_003201897.1																																		WP_186650154.1																																										WP_003201897.1																																												
N207.HOG0000027	OG0000001	n92																		WP_003204256.1																																WP_003204256.1																																																																WP_003204256.1																																		WP_014339502.1																																										WP_003204256.1																																												
N207.HOG0000028	OG0000001	n484																		WP_003200468.1																																WP_003200468.1																																																																WP_003200468.1																																		WP_046061779.1																																										WP_003200468.1																																												
N207.HOG0000029	OG0000001	n532																		WP_013692718.1																																WP_039011205.1																																																																WP_013692718.1																																		WP_186650673.1																																										WP_003200247.1																																												
N207.HOG0000030	OG0000001	n892																		WP_013692819.1																																																																																																																																		WP_095058152.1																																																																																						
N207.HOG0000031	OG0000001	n1069																		WP_013693295.1																																WP_060613849.1																																																																WP_003201590.1																																		WP_057450403.1																																										WP_100264333.1																																												
N207.HOG0000032	OG0000001	n1186																		WP_003200466.1																																WP_003200466.1																																																																WP_003200466.1																																		WP_046061780.1																																										WP_003200466.1																																												
N207.HOG0000033	OG0000001	n1250																		WP_013693989.1																																WP_027911487.1																																																																WP_003204229.1																																		WP_186651272.1																																										WP_013693989.1																																												
N207.HOG0000034	OG0000001	n1450																		WP_003201592.1																																WP_060613850.1																																																																WP_003201592.1																																		WP_095974657.1																																										WP_100264332.1																																												
N207.HOG0000035	OG0000001	n1628																		WP_013693041.1																																WP_003200774.1																																																																WP_003200774.1																																		WP_186650926.1																																										WP_003200774.1																																												
N207.HOG0000036	OG0000001	n1657																		WP_003201036.1																																WP_060613794.1																																																																WP_003201036.1																																		WP_046062195.1																																										WP_003201036.1																																												
N207.HOG0000037	OG0000001	n1710																		WP_003202538.1																																WP_028236921.1																																																																WP_028236921.1																																		WP_095961924.1																																										WP_038857224.1																																												
N207.HOG0000038	OG0000001	n1915																		WP_013692821.1																																																																																																																																		WP_013692821.1																																																																																						
N207.HOG0000039	OG0000001	n1927																		WP_013693392.1																																WP_013693392.1																																																																WP_013693392.1																																																																												WP_003201965.1																																												
N207.HOG0000040	OG0000001	n2028																		WP_003202227.1																																WP_003202227.1																																																																WP_003202227.1																																		WP_095962116.1																																										WP_100263790.1																																												
N207.HOG0000041	OG0000001	n2096																		WP_080560986.1																																WP_080766478.1																																																																WP_003203124.1																																		WP_074849721.1																																										WP_003203124.1																																												
N207.HOG0000042	OG0000001	n2141																		WP_013693944.1																																WP_027912205.1																																																																WP_003203983.1																																		WP_046063429.1																																										WP_027912205.1																																												
N207.HOG0000043	OG0000001	n2358																		WP_003203120.1																																																																																																WP_003203120.1																																																																																																																								
N207.HOG0000044	OG0000001	n2382																		WP_003204087.1																																WP_027911460.1																																																																WP_003204087.1																																		WP_186651342.1																																										WP_027911460.1																																												
N207.HOG0000045	OG0000001	n2516																		WP_003196671.1																																WP_003196671.1																																																																WP_003196671.1																																		WP_046065261.1																																										WP_003196671.1																																												
N207.HOG0000046	OG0000001	n2591																																																		WP_060613660.1																																																																																																																																																																																								
N207.HOG0000047	OG0000001	n2594																		WP_003204364.1																																WP_003204364.1																																																																WP_003204364.1																																		WP_046063641.1																																										WP_003204364.1																																												
N207.HOG0000048	OG0000001	n2968																		WP_003180553.1																																WP_003180553.1																																																																WP_003180553.1																																		WP_003180553.1																																										WP_003180553.1																																												
N207.HOG0000049	OG0000001	n3362																		WP_013692788.1																																																																																																																																		WP_013692788.1																																																																																						
N207.HOG0000050	OG0000001	n3365																		WP_041931166.1																																WP_033028109.1																																																																WP_033028109.1																																		WP_095974723.1																																										WP_033028109.1																																												
N207.HOG0000051	OG0000002	n134																		WP_003204983.1																																WP_003204983.1																																																																WP_003204983.1																																		WP_014339893.1																																										WP_003204983.1																																												
N207.HOG0000052	OG0000002	n337																																																		WP_200968023.1																																																																																																																																																																																								
N207.HOG0000053	OG0000002	n393																		WP_003205299.1																																WP_003205299.1																																																																WP_003205299.1																																		WP_003178331.1																																										WP_003205299.1																																												
N207.HOG0000054	OG0000002	n816																																																																																																																		WP_003200528.1																																																																												WP_003200528.1																																												
N207.HOG0000055	OG0000002	n909																		WP_003196662.1																																WP_003196662.1																																																																WP_003196662.1																																		WP_186651447.1																																										WP_003196662.1																																												
N207.HOG0000056	OG0000002	n1114																		WP_003196795.1																																WP_003196795.1																																																																WP_003196795.1																																		WP_079301527.1																																										WP_003196795.1																																												
N207.HOG0000057	OG0000002	n1419																		WP_003202197.1																																WP_060613894.1																																																																WP_003202197.1																																		WP_003202197.1																																										WP_003202197.1																																												
N207.HOG0000058	OG0000002	n1429																		WP_003198401.1																																WP_003198401.1																																																																WP_003198401.1																																		WP_046064968.1																																										WP_003198401.1																																												
N207.HOG0000059	OG0000002	n1520																																																		WP_025214432.1																																																																																																																																																																																								
N207.HOG0000060	OG0000002	n1591																		WP_003204797.1																																WP_003204797.1																																																																WP_003204797.1																																		WP_003204797.1																																										WP_003204797.1																																												
N207.HOG0000061	OG0000002	n1828																		WP_003200817.1																																WP_003200817.1																																																																WP_003200817.1																																		WP_003200817.1																																										WP_003200817.1																																												
N207.HOG0000062	OG0000002	n1882																		WP_013692713.1																																WP_003200230.1																																																																WP_003200230.1																																		WP_046062045.1																																										WP_172681404.1																																												
N207.HOG0000063	OG0000002	n1996																																																																																																																																																				WP_014336530.1																																																																																						
N207.HOG0000064	OG0000002	n2018																		WP_027911433.1																																WP_027911433.1																																																																WP_027911433.1																																		WP_039591663.1																																										WP_027911433.1																																												
N207.HOG0000065	OG0000002	n2088																		WP_003202562.1																																WP_003202562.1																																																																WP_149632407.1																																		WP_046062706.1																																										WP_003202562.1																																												
N207.HOG0000066	OG0000002	n2134																		WP_013694527.1																																WP_003206736.1																																																																WP_003206736.1																																		WP_024619803.1																																										WP_003206736.1																																												
N207.HOG0000067	OG0000003	n372																		WP_003205388.1																																WP_003205388.1																																																																WP_003205388.1																																		WP_186651841.1																																										WP_003205388.1																																												
