HOG	OG	Gene Tree Parent Clade	GCA_000014625.1	GCA_001077675.1	GCF_000006765.1	GCF_000007805.1	GCF_000009225.2	GCF_000012265.1	GCF_000013785.1	GCF_000017205.1	GCF_000026105.1	GCF_000026645.1	GCF_000046845.1	GCF_000145845.1	GCF_000145845.2	GCF_000145885.1	GCF_000146005.2	GCF_000164015.3	GCF_000172895.1	GCF_000194805.1	GCF_000204295.1	GCF_000219605.1	GCF_000237045.1	GCF_000280575.1	GCF_000293885.2	GCF_000319815.1	GCF_000327065.1	GCF_000344475.3	GCF_000349845.1	GCF_000397205.1	GCF_000413935.1	GCF_000452445.2	GCF_000452705.1	GCF_000452745.2	GCF_000510285.1	GCF_000568855.2	GCF_000696345.2	GCF_000746525.1	GCF_000759535.1	GCF_000761155.1	GCF_000813225.1	GCF_000825645.2	GCF_000828695.1	GCF_000988485.1	GCF_001020725.2	GCF_001042905.1	GCF_001269655.1	GCF_001297075.1	GCF_001400495.1	GCF_001400675.1	GCF_001412045.1	GCF_001449085.1	GCF_001477425.1	GCF_001482725.1	GCF_001515585.1	GCF_001518815.1	GCF_001543125.1	GCF_001547895.1	GCF_001547915.1	GCF_001594225.1	GCF_001605965.1	GCF_001641345.1	GCF_001647715.1	GCF_001655295.1	GCF_001655595.1	GCF_001655615.1	GCF_001661075.1	GCF_001682515.1	GCF_001708425.1	GCF_001708505.1	GCF_001730655.1	GCF_001839655.2	GCF_002007785.1	GCF_002024285.1	GCF_002091695.1	GCF_002287865.1	GCF_002318885.1	GCF_002355315.1	GCF_002356535.2	GCF_002362295.1	GCF_002442555.1	GCF_002688705.1	GCF_002736065.1	GCF_002741095.1	GCF_002864795.1	GCF_002884415.1	GCF_002905795.1	GCF_002941105.1	GCF_002966555.1	GCF_002966835.1	GCF_002980135.1	GCF_003047185.1	GCF_003410335.1	GCF_003413075.1	GCF_003415775.1	GCF_003626995.1	GCF_003671865.1	GCF_003699405.1	GCF_003699955.1	GCF_003700835.1	GCF_003850385.1	GCF_003850425.1	GCF_003851145.1	GCF_003851385.1	GCF_003851985.1	GCF_003852025.1	GCF_003940825.1	GCF_004124255.1	GCF_004135995.1	GCF_004348895.1	GCF_004683905.1	GCF_004745455.1	GCF_005080685.1	GCF_005281455.1	GCF_007833495.1	GCF_008370715.1	GCF_008693965.1	GCF_008801455.1	GCF_008801565.1	GCF_009362955.1	GCF_009497895.1	GCF_009740185.1	GCF_009755645.1	GCF_009903285.1	GCF_009911755.1	GCF_011040435.1	GCF_011397855.1	GCF_011466835.1	GCF_011765175.1	GCF_012971725.1	GCF_013200955.1	GCF_013347965.1	GCF_013374995.1	GCF_013393345.1	GCF_013403585.1	GCF_013409125.2	GCF_013425825.1	GCF_013778535.1	GCF_013911125.1	GCF_014076455.1	GCF_014190825.1	GCF_014268275.2	GCF_014268375.2	GCF_014268445.1	GCF_014268455.2	GCF_014268485.2	GCF_014268495.1	GCF_014268585.2	GCF_014268595.1	GCF_014268695.2	GCF_014268755.2	GCF_014268885.2	GCF_014269025.1	GCF_014269225.2	GCF_014522265.1	GCF_014656565.1	GCF_014855475.1	GCF_014863585.1	GCF_014863605.1	GCF_015476275.1	GCF_015712065.1	GCF_016134935.1	GCF_016599635.1	GCF_016861485.1	GCF_017166425.1	GCF_017167965.1	GCF_017798225.1	GCF_017915135.1	GCF_018388545.1	GCF_018417575.1	GCF_019139535.1	GCF_019139675.1	GCF_019139795.1	GCF_019139815.1	GCF_019139835.1	GCF_019139855.1	GCF_019139895.1	GCF_019141525.1	GCF_019285655.1	GCF_019334485.1	GCF_019614655.1	GCF_019693255.1	GCF_019719375.1	GCF_019879085.1	GCF_020025155.1	GCF_020204845.1	GCF_020422905.1	GCF_020424105.1	GCF_020917325.1	GCF_021029445.1	GCF_021233455.1	GCF_021389915.1	GCF_021398855.1	GCF_021432765.1	GCF_021495345.1	GCF_021601925.1	GCF_021605025.1	GCF_021654315.1	GCF_021725455.1	GCF_022026035.1	GCF_022049085.1	GCF_022510205.1	GCF_022533565.1	GCF_022557235.1	GCF_022807995.1	GCF_022870785.1	GCF_023207855.1	GCF_023277925.1	GCF_024023035.1	GCF_024072295.1	GCF_024397895.1	GCF_024413275.1	GCF_024448735.1	GCF_900104805.1	GCF_900104915.1	GCF_900104945.1	GCF_900105005.1	GCF_900105255.1	GCF_900105485.1	GCF_900105655.1	GCF_900105885.1	GCF_900105995.1	GCF_900106015.1	GCF_900106045.1	GCF_900116605.1	GCF_900188285.1	GCF_900235895.1	GCF_900475215.1	GCF_900475285.1	GCF_900601635.1	GCF_900625045.1	GCF_900626055.1	GCF_900636845.1	GCF_900636995.1	GCF_900682675.1	GCF_901482615.1	GCF_000271365.1	GCF_000510305.1	GCF_002943995.1	GCF_002951475.1	GCF_004355125.1	GCF_004355145.1	GCF_013343435.1	GCF_013343475.1	GCF_013343535.1	GCF_022559545.1
N52.HOG0000000	OG0000000	n197																																																																																																																																																																						WP_210389467.1																																																																WP_150605880.1														
N52.HOG0000001	OG0000000	n412																																																																																																																																																																																																																																						WP_023048086.1														
N52.HOG0000002	OG0000000	n520																																																																																																																																																																						WP_037046329.1																																																																WP_037046329.1														
N52.HOG0000003	OG0000000	n701																																																																																																																																																																						WP_047591590.1																																																																WP_150607297.1														
N52.HOG0000004	OG0000000	n917																																																																																																																																																																						WP_037054083.1																																																																WP_150609264.1														
N52.HOG0000005	OG0000000	n1234																																																																																																																																																																						WP_210389214.1																																																																WP_150609920.1														
N52.HOG0000006	OG0000000	n1577																																																																																																																																																																						WP_210390710.1																																																																WP_047586302.1														
N52.HOG0000007	OG0000000	n1671																																																																																																																																																																						WP_210390112.1																																																																WP_150607379.1														
N52.HOG0000008	OG0000000	n1920																																																																																																																																																																						WP_210389209.1																																																																WP_150609904.1														
N52.HOG0000009	OG0000000	n1976																																																																																																																																																																						WP_210389210.1																																																																WP_150609906.1														
N52.HOG0000010	OG0000000	n2151																																																																																																																																																																																																																																						WP_150609999.1														
N52.HOG0000011	OG0000000	n2155																																																																																																																																																																						WP_037053805.1																																																																WP_037053805.1														
N52.HOG0000012	OG0000000	n2552																																																																																																																																																																						WP_134677693.1																																																																WP_150608441.1														
N52.HOG0000013	OG0000000	n2628																																																																																																																																																																						WP_037050530.1																																																																WP_037050530.1														
N52.HOG0000014	OG0000000	n2708																																																																																																																																																																																																																																						WP_023048079.1														
N52.HOG0000015	OG0000000	n2874																																																																																																																																																																						WP_210390763.1																																																																WP_150608956.1														
N52.HOG0000016	OG0000000	n3297																																																																																																																																																																						WP_210389184.1																																																																WP_134676715.1														
N52.HOG0000017	OG0000000	n3421																																																																																																																																																																						WP_244976489.1																																																																WP_197738877.1														
N52.HOG0000018	OG0000000	n3422																																																																																																																																																																						WP_210390848.1																																																																WP_150609042.1														
N52.HOG0000019	OG0000000	n3645																																																																																																																																																																						WP_134676264.1																																																																WP_150608817.1														
N52.HOG0000020	OG0000001	n9																																																																																																																																																																						WP_037048534.1																																																																WP_037048534.1														
N52.HOG0000021	OG0000001	n492																																																																																																																																																																						WP_210390545.1																																																																WP_150608372.1														
N52.HOG0000022	OG0000001	n947																																																																																																																																																																																																																																						WP_150605604.1														
N52.HOG0000023	OG0000001	n982																																																																																																																																																																						WP_037053065.1																																																																WP_037053065.1														
N52.HOG0000024	OG0000001	n1150																																																																																																																																																																																																																																						WP_150605600.1														
N52.HOG0000025	OG0000001	n1260																																																																																																																																																																						WP_210390544.1																																																																WP_150608370.1														
N52.HOG0000026	OG0000001	n1356																																																																																																																																																																						WP_037054320.1																																																																WP_037054320.1														
N52.HOG0000027	OG0000001	n1565																																																																																																																																																																						WP_150608374.1																																																																WP_150608374.1														
N52.HOG0000028	OG0000001	n1601																																																																																																																																																																						WP_210391016.1																																																																WP_037051857.1														
N52.HOG0000029	OG0000001	n2063																																																																																																																																																																																																																																						WP_150609581.1														
N52.HOG0000030	OG0000001	n2141																																																																																																																																																																						WP_210390582.1																																																																														
N52.HOG0000031	OG0000001	n2318																																																																																																																																																																						WP_210389429.1																																																																WP_150605791.1														
N52.HOG0000032	OG0000001	n2608																																																																																																																																																																						WP_244976479.1																																																																WP_197738820.1														
N52.HOG0000033	OG0000001	n2761																																																																																																																																																																						WP_210390764.1																																																																WP_150608958.1														
N52.HOG0000034	OG0000001	n2915																																																																																																																																																																																																																																						WP_150608928.1														
N52.HOG0000035	OG0000001	n3187																																																																																																																																																																						WP_210390581.1																																																																														
N52.HOG0000036	OG0000002	n196																																																																																																																																																																						WP_037056288.1																																																																WP_037056288.1														
N52.HOG0000037	OG0000002	n405																																																																																																																																																																						WP_037056004.1																																																																WP_037056004.1														
N52.HOG0000038	OG0000002	n697																																																																																																																																																																						WP_037057134.1																																																																WP_037057134.1														
N52.HOG0000039	OG0000002	n910																																																																																																																																																																																																																																						WP_150607178.1														
N52.HOG0000040	OG0000002	n966																																																																																																																																																																						WP_037055322.1																																																																WP_037055322.1														
N52.HOG0000041	OG0000002	n1459																																																																																																																																																																						WP_037048436.1																																																																WP_037048436.1														
N52.HOG0000042	OG0000002	n2086																																																																																																																																																																						WP_037052305.1																																																																WP_037052305.1														
N52.HOG0000043	OG0000002	n2156																																																																																																																																																																						WP_037054492.1																																																																WP_037054492.1														
N52.HOG0000044	OG0000002	n2210																																																																																																																																																																						WP_210390194.1																																																																WP_037052868.1														
N52.HOG0000045	OG0000003	n55																																																																																																																																																																						WP_037051393.1																																																																WP_037051393.1														
N52.HOG0000046	OG0000003	n410																																																																																																																																																																						WP_037056159.1																																																																WP_150605964.1														
N52.HOG0000047	OG0000003	n426																																																																																																																																																																						WP_037056033.1																																																																WP_150606805.1														
N52.HOG0000048	OG0000003	n547																																																																																																																																																																						WP_231499309.1																																																																WP_134675763.1														
N52.HOG0000049	OG0000003	n694																																																																																																																																																																						WP_210389512.1																																																																WP_047590322.1														
N52.HOG0000050	OG0000003	n721																																																																																																																																																																						WP_152489340.1																																																																WP_150605992.1														
N52.HOG0000051	OG0000003	n811																																																																																																																																																																						WP_230622805.1																																																																WP_051800551.1														
N52.HOG0000052	OG0000003	n883																																																																																																																																																																						WP_037055992.1																																																																WP_037055992.1														
N52.HOG0000053	OG0000003	n942																																																																																																																																																																						WP_037051742.1																																																																WP_037051742.1														
N52.HOG0000054	OG0000003	n1055																																																																																																																																																																						WP_210390923.1																																																																WP_134678201.1														
N52.HOG0000055	OG0000003	n1129																																																																																																																																																																						WP_037056818.1																																																																WP_150607500.1														
N52.HOG0000056	OG0000003	n1181																																																																																																																																																																						WP_244976425.1																																																																														
N52.HOG0000057	OG0000003	n1202																																																																																																																																																																						WP_051800648.1																																																																WP_134675786.1														
N52.HOG0000058	OG0000003	n1938																																																																																																																																																																						WP_037054148.1																																																																WP_150609223.1														
N52.HOG0000059	OG0000004	n589																																																																																																																																																																																																																																						WP_150605704.1														
N52.HOG0000060	OG0000004	n604																																																																																																																																																																																																																																						WP_150605701.1														
N52.HOG0000061	OG0000004	n717																																																																																																																																																																																																																																						WP_150605702.1														
N52.HOG0000062	OG0000004	n763																																																																																																																																																																																																																																						WP_150605703.1														
N52.HOG0000063	OG0000004	n879																																																																																																																																																																																																																																						WP_150605699.1														
N52.HOG0000064	OG0000004	n1053																																																																																																																																																																						WP_210389378.1																																																																														
N52.HOG0000065	OG0000004	n1560																																																																																																																																																																						WP_210389379.1																																																																														
N52.HOG0000066	OG0000005	n419																																																																																																																																																																						WP_152487488.1																																																																WP_134676660.1														
N52.HOG0000067	OG0000005	n663																																																																																																																																																																						WP_210390055.1																																																																WP_037055535.1														
N52.HOG0000068	OG0000005	n762																																																																																																																																																																																																																																						WP_150605578.1														
N52.HOG0000069	OG0000005	n1055																																																																																																																																																																						WP_037046170.1																																																																WP_037046170.1														
N52.HOG0000070	OG0000005	n1061																																																																																																																																																																						WP_244229922.1																																																																WP_037052375.1														
N52.HOG0000071	OG0000005	n1092																																																																																																																																																																						WP_037053494.1																																																																WP_037053494.1														
N52.HOG0000072	OG0000005	n1182																																																																																																																																																																						WP_037048278.1																																																																WP_134676836.1														
N52.HOG0000073	OG0000005	n1536																																																																																																																																																																						WP_037054308.1																																																																WP_037054308.1														
N52.HOG0000074	OG0000006	n211																																																																																																																																																																						WP_037048987.1																																																																WP_037048987.1														
N52.HOG0000075	OG0000006	n334																																																																																																																																																																																																																																						WP_150605568.1														
N52.HOG0000076	OG0000006	n821																																																																																																																																																																						WP_244976480.1																																																																														
N52.HOG0000077	OG0000006	n844																																																																																																																																																																						WP_037053585.1																																																																WP_150609091.1														
N52.HOG0000078	OG0000006	n871																																																																																																																																																																						WP_037056988.1																																																																WP_037056988.1														
N52.HOG0000079	OG0000006	n1363																																																																																																																																																																						WP_210391195.1																																																																WP_134677774.1														
N52.HOG0000080	OG0000006	n1373																																																																																																																																																																						WP_210389271.1																																																																														
N52.HOG0000081	OG0000006	n1395																																																																																																																																																																						WP_134678317.1																																																																WP_150606964.1														
N52.HOG0000082	OG0000006	n1486																																																																																																																																																																						WP_152489162.1																																																																WP_150605733.1														
N52.HOG0000083	OG0000007	n4																																																																																																																																																																						WP_175252881.1																																																																WP_150609495.1														
N52.HOG0000084	OG0000007	n301																																																																																																																																																																						WP_210389958.1																																																																WP_150606952.1														
N52.HOG0000085	OG0000007	n866																																																																																																																																																																						WP_210391039.1																																																																WP_150609463.1														
N52.HOG0000086	OG0000007	n879																																																																																																																																																																						WP_210390609.1																																																																WP_037047095.1														
N52.HOG0000087	OG0000008	n152																																																																																																																																																																						WP_037048446.1																																																																WP_037048446.1														
N52.HOG0000088	OG0000008	n1189																																																																																																																																																																						WP_047586557.1																																																																WP_047586557.1														
N52.HOG0000089	OG0000010	n1																																																																																																																																																																						WP_037055906.1																																																																WP_150609541.1														
N52.HOG0000090	OG0000010	n243																																																																																																																																																																						WP_003298189.1																																																																WP_003298189.1														
N52.HOG0000091	OG0000010	n513																																																																																																																																																																						WP_037049100.1																																																																WP_037049100.1														
N52.HOG0000092	OG0000010	n899																																																																																																																																																																						WP_230622853.1																																																																WP_167494369.1														
N52.HOG0000093	OG0000010	n1125																																																																																																																																																																						WP_024308925.1																																																																WP_024308925.1														
