HOG	OG	Gene Tree Parent Clade	GCA_000014625.1	GCA_001077675.1	GCF_000006765.1	GCF_000007805.1	GCF_000009225.2	GCF_000012265.1	GCF_000013785.1	GCF_000017205.1	GCF_000026105.1	GCF_000026645.1	GCF_000046845.1	GCF_000145845.1	GCF_000145845.2	GCF_000145885.1	GCF_000146005.2	GCF_000164015.3	GCF_000172895.1	GCF_000194805.1	GCF_000204295.1	GCF_000219605.1	GCF_000237045.1	GCF_000280575.1	GCF_000293885.2	GCF_000319815.1	GCF_000327065.1	GCF_000344475.3	GCF_000349845.1	GCF_000397205.1	GCF_000413935.1	GCF_000452445.2	GCF_000452705.1	GCF_000452745.2	GCF_000510285.1	GCF_000568855.2	GCF_000696345.2	GCF_000746525.1	GCF_000759535.1	GCF_000761155.1	GCF_000813225.1	GCF_000825645.2	GCF_000828695.1	GCF_000988485.1	GCF_001020725.2	GCF_001042905.1	GCF_001269655.1	GCF_001297075.1	GCF_001400495.1	GCF_001400675.1	GCF_001412045.1	GCF_001449085.1	GCF_001477425.1	GCF_001482725.1	GCF_001515585.1	GCF_001518815.1	GCF_001543125.1	GCF_001547895.1	GCF_001547915.1	GCF_001594225.1	GCF_001605965.1	GCF_001641345.1	GCF_001647715.1	GCF_001655295.1	GCF_001655595.1	GCF_001655615.1	GCF_001661075.1	GCF_001682515.1	GCF_001708425.1	GCF_001708505.1	GCF_001730655.1	GCF_001839655.2	GCF_002007785.1	GCF_002024285.1	GCF_002091695.1	GCF_002287865.1	GCF_002318885.1	GCF_002355315.1	GCF_002356535.2	GCF_002362295.1	GCF_002442555.1	GCF_002688705.1	GCF_002736065.1	GCF_002741095.1	GCF_002864795.1	GCF_002884415.1	GCF_002905795.1	GCF_002941105.1	GCF_002966555.1	GCF_002966835.1	GCF_002980135.1	GCF_003047185.1	GCF_003410335.1	GCF_003413075.1	GCF_003415775.1	GCF_003626995.1	GCF_003671865.1	GCF_003699405.1	GCF_003699955.1	GCF_003700835.1	GCF_003850385.1	GCF_003850425.1	GCF_003851145.1	GCF_003851385.1	GCF_003851985.1	GCF_003852025.1	GCF_003940825.1	GCF_004124255.1	GCF_004135995.1	GCF_004348895.1	GCF_004683905.1	GCF_004745455.1	GCF_005080685.1	GCF_005281455.1	GCF_007833495.1	GCF_008370715.1	GCF_008693965.1	GCF_008801455.1	GCF_008801565.1	GCF_009362955.1	GCF_009497895.1	GCF_009740185.1	GCF_009755645.1	GCF_009903285.1	GCF_009911755.1	GCF_011040435.1	GCF_011397855.1	GCF_011466835.1	GCF_011765175.1	GCF_012971725.1	GCF_013200955.1	GCF_013347965.1	GCF_013374995.1	GCF_013393345.1	GCF_013403585.1	GCF_013409125.2	GCF_013425825.1	GCF_013778535.1	GCF_013911125.1	GCF_014076455.1	GCF_014190825.1	GCF_014268275.2	GCF_014268375.2	GCF_014268445.1	GCF_014268455.2	GCF_014268485.2	GCF_014268495.1	GCF_014268585.2	GCF_014268595.1	GCF_014268695.2	GCF_014268755.2	GCF_014268885.2	GCF_014269025.1	GCF_014269225.2	GCF_014522265.1	GCF_014656565.1	GCF_014855475.1	GCF_014863585.1	GCF_014863605.1	GCF_015476275.1	GCF_015712065.1	GCF_016134935.1	GCF_016599635.1	GCF_016861485.1	GCF_017166425.1	GCF_017167965.1	GCF_017798225.1	GCF_017915135.1	GCF_018388545.1	GCF_018417575.1	GCF_019139535.1	GCF_019139675.1	GCF_019139795.1	GCF_019139815.1	GCF_019139835.1	GCF_019139855.1	GCF_019139895.1	GCF_019141525.1	GCF_019285655.1	GCF_019334485.1	GCF_019614655.1	GCF_019693255.1	GCF_019719375.1	GCF_019879085.1	GCF_020025155.1	GCF_020204845.1	GCF_020422905.1	GCF_020424105.1	GCF_020917325.1	GCF_021029445.1	GCF_021233455.1	GCF_021389915.1	GCF_021398855.1	GCF_021432765.1	GCF_021495345.1	GCF_021601925.1	GCF_021605025.1	GCF_021654315.1	GCF_021725455.1	GCF_022026035.1	GCF_022049085.1	GCF_022510205.1	GCF_022533565.1	GCF_022557235.1	GCF_022807995.1	GCF_022870785.1	GCF_023207855.1	GCF_023277925.1	GCF_024023035.1	GCF_024072295.1	GCF_024397895.1	GCF_024413275.1	GCF_024448735.1	GCF_900104805.1	GCF_900104915.1	GCF_900104945.1	GCF_900105005.1	GCF_900105255.1	GCF_900105485.1	GCF_900105655.1	GCF_900105885.1	GCF_900105995.1	GCF_900106015.1	GCF_900106045.1	GCF_900116605.1	GCF_900188285.1	GCF_900235895.1	GCF_900475215.1	GCF_900475285.1	GCF_900601635.1	GCF_900625045.1	GCF_900626055.1	GCF_900636845.1	GCF_900636995.1	GCF_900682675.1	GCF_901482615.1	GCF_000271365.1	GCF_000510305.1	GCF_002943995.1	GCF_002951475.1	GCF_004355125.1	GCF_004355145.1	GCF_013343435.1	GCF_013343475.1	GCF_013343535.1	GCF_022559545.1
N203.HOG0000000	OG0000000	n19																																																																WP_177343094.1												WP_172901176.1																																																															WP_178119827.1																																																																																																									
N203.HOG0000001	OG0000000	n67																																												WP_038979068.1																				WP_026286730.1												WP_019582322.1																																																															WP_019582322.1																																																																																																									
N203.HOG0000002	OG0000000	n210																																												WP_204369459.1																				WP_019581528.1	WP_082930490.1											WP_019581528.1																																																															WP_019581528.1																																																																																																									
N203.HOG0000003	OG0000000	n445																																																																	WP_193408120.1																																																																																																																																																																																			
N203.HOG0000004	OG0000000	n513																																																																	WP_064678591.1																																																																																																																																																																																			
N203.HOG0000005	OG0000000	n675																																																																WP_064618530.1												WP_019580235.1																																																															WP_019580235.1																																																																																																									
N203.HOG0000006	OG0000000	n772																																																																WP_064619646.1												WP_028939361.1																																																															WP_218584867.1																																																																																																									
N203.HOG0000007	OG0000000	n839																																												WP_048395309.1																																WP_096480022.1																																																															WP_019579491.1																																																																																																									
N203.HOG0000008	OG0000000	n860																																												WP_038983313.1																				WP_064616817.1												WP_096480210.1																																																															WP_218584964.1, WP_019578965.1																																																																																																									
N203.HOG0000009	OG0000000	n1001																																												WP_048395003.1																				WP_064618753.1	WP_064678388.1											WP_019580119.1																																																															WP_028941296.1																																																																																																									
N203.HOG0000010	OG0000000	n1234																																																																WP_018929053.1												WP_018929053.1																																																															WP_018929053.1																																																																																																									
N203.HOG0000011	OG0000000	n1299																																																																	WP_064678790.1																																																																																																																																																																																			
N203.HOG0000012	OG0000000	n1373																																												WP_038982070.1																				WP_064616565.1	WP_064676324.1											WP_019581185.1																																																															WP_218585034.1																																																																																																									
N203.HOG0000013	OG0000000	n1512																																																																	WP_064678497.1																																																																																																																																																																																			
N203.HOG0000014	OG0000000	n1539																																												WP_048397099.1																																																																																																																																																																																																								
N203.HOG0000015	OG0000000	n1569																																																																	WP_152032270.1																																																																																																																																																																																			
N203.HOG0000016	OG0000000	n1577																																												WP_038982881.1																																																																																																																																																																																																								
N203.HOG0000017	OG0000000	n1671																																												WP_048396674.1																				WP_018929425.1	WP_064679840.1											WP_096481186.1																																																															WP_218584982.1																																																																																																									
N203.HOG0000018	OG0000000	n2017																																												WP_048397385.1																				WP_018927331.1	WP_064680516.1											WP_028940081.1																																																															WP_028940081.1																																																																																																									
N203.HOG0000019	OG0000000	n2155																																												WP_038979161.1																				WP_018927003.1	WP_064676119.1											WP_019581011.1																																																															WP_019581011.1																																																																																																									
N203.HOG0000020	OG0000000	n2392																																												WP_048392942.1																				WP_019649489.1	WP_064678664.1											WP_019582011.1																																																															WP_019582011.1																																																																																																									
N203.HOG0000021	OG0000000	n2444																																																																	WP_257784588.1																																																																																																																																																																																			
N203.HOG0000022	OG0000000	n2657																																																																	WP_064677807.1																																																																																																																																																																																			
N203.HOG0000023	OG0000000	n2662																																																																	WP_064677832.1																																																																																																																																																																																			
N203.HOG0000024	OG0000000	n2874																																												WP_048396465.1																				WP_018925805.1	WP_064675778.1											WP_028938866.1																																																															WP_028938866.1																																																																																																									
N203.HOG0000025	OG0000000	n3045																																																																WP_064118371.1																																																																																																																																																																																				
N203.HOG0000026	OG0000000	n3218																																																																WP_257784394.1																																																																																																																																																																																				
N203.HOG0000027	OG0000000	n3297																																												WP_038983307.1																																																																																																																																																																																																								
N203.HOG0000028	OG0000000	n3432																																																																WP_064618143.1												WP_096480128.1																																																															WP_019579248.1																																																																																																									
N203.HOG0000029	OG0000000	n3543																																																																WP_018929328.1												WP_019581735.1																																																															WP_028939568.1																																																																																																									
N203.HOG0000030	OG0000000	n3645																																												WP_048392865.1, WP_038979392.1																																																																																																																																																																																																								
N203.HOG0000031	OG0000000	n3786																																																																	WP_064678471.1																																																																																																																																																																																			
N203.HOG0000032	OG0000001	n9																																												WP_007942004.1																				WP_064616588.1	WP_007942004.1											WP_007942004.1																																																															WP_007942004.1																																																																																																									
N203.HOG0000033	OG0000001	n251																																												WP_038983299.1																					WP_064677688.1																																																																																																																																																																																			
N203.HOG0000034	OG0000001	n457																																																																	WP_064678571.1																																																																																																																																																																																			
N203.HOG0000035	OG0000001	n492																																																																	WP_064677319.1																																																																																																																																																																																			
N203.HOG0000036	OG0000001	n515																																																																	WP_064676952.1																																																																																																																																																																																			
N203.HOG0000037	OG0000001	n516																																																																	WP_191637822.1																																																																																																																																																																																			
N203.HOG0000038	OG0000001	n655																																												WP_048393236.1																				WP_064617633.1	WP_064677070.1											WP_096480279.1																																																															WP_028940684.1																																																																																																									
N203.HOG0000039	OG0000001	n665																																												WP_013692788.1																																																																																																																																																																																																								
N203.HOG0000040	OG0000001	n716																																																																	WP_064676795.1																																																																										WP_028941121.1																																																																																																									
N203.HOG0000041	OG0000001	n822																																																																	WP_064678842.1																																																																																																																																																																																			
N203.HOG0000042	OG0000001	n992																																												WP_038979881.1																				WP_028941072.1	WP_064678907.1											WP_096479805.1																																																															WP_028941072.1																																																																																																									
N203.HOG0000043	OG0000001	n1190																																																																WP_064615819.1												WP_096481462.1																																																															WP_028939567.1																																																																																																									
N203.HOG0000044	OG0000001	n1260																																																																	WP_064677287.1																																																																										WP_081791094.1																																																																																																									
N203.HOG0000045	OG0000001	n1323																																																																	WP_064677312.1																																																																																																																																																																																			
N203.HOG0000046	OG0000001	n1360																																												WP_048392950.1																																																																																																																																																																																																								
N203.HOG0000047	OG0000001	n1361																																												WP_048395753.1																				WP_064616537.1	WP_064676317.1											WP_018926266.1																																																															WP_018926266.1																																																																																																									
N203.HOG0000048	OG0000001	n1565																																																																	WP_064677320.1																																																																																																																																																																																			
N203.HOG0000049	OG0000001	n1601																																												WP_008009686.1																				WP_019579368.1	WP_064677994.1											WP_018929676.1																																																															WP_018929676.1																																																																																																									
N203.HOG0000050	OG0000001	n1955																																																																WP_064617855.1																																																																																																																																																																																				
N203.HOG0000051	OG0000001	n2055																																																																												WP_245874977.1																																																																																																																																																																								
N203.HOG0000052	OG0000001	n2063																																																																	WP_064677281.1																																																																																																																																																																																			
N203.HOG0000053	OG0000001	n2098																																												WP_013692821.1																																																																																																																																																																																																								
N203.HOG0000054	OG0000001	n2110																																																																	WP_064677771.1																																																																																																																																																																																			
N203.HOG0000055	OG0000001	n2141																																																																WP_064617379.1												WP_096480352.1																																																															WP_018927910.1																																																																																																									
N203.HOG0000056	OG0000001	n2245																																												WP_038982103.1																				WP_018926206.1	WP_064676420.1											WP_096480890.1																																																															WP_018926206.1																																																																																																									
N203.HOG0000057	OG0000001	n2453																																												WP_048392971.1																					WP_064678469.1																																																																																																																																																																																			
N203.HOG0000058	OG0000001	n2494																																																																	WP_064677005.1																																																																																																																																																																																			
N203.HOG0000059	OG0000001	n2679																																																																												WP_157755482.1																																																																																																																																																																								
N203.HOG0000060	OG0000001	n2761																																												WP_038978533.1																				WP_064615873.1	WP_064675423.1											WP_064615873.1																																																															WP_018929278.1																																																																																																									
N203.HOG0000061	OG0000001	n2854																																																																																																																																											WP_019579173.1																																																																																																									
N203.HOG0000062	OG0000001	n2956																																																																WP_018930253.1												WP_096480798.1																																																																																																																																																																								
N203.HOG0000063	OG0000001	n3014																																																																	WP_064678600.1																																																																																																																																																																																			
N203.HOG0000064	OG0000001	n3086																																												WP_048392916.1																																																																																																																																																																																																								
N203.HOG0000065	OG0000001	n3091																																																																	WP_082930428.1																																																																																																																																																																																			
N203.HOG0000066	OG0000001	n3187																																																																WP_064617376.1												WP_028940817.1																																																															WP_028940817.1																																																																																																									
N203.HOG0000067	OG0000002	n11																																																																WP_007936789.1	WP_064675481.1											WP_007936789.1																																																															WP_225602868.1																																																																																																									
N203.HOG0000068	OG0000002	n196																																												WP_038981857.1																				WP_018926621.1	WP_064679494.1											WP_096480995.1																																																															WP_019581562.1																																																																																																									
N203.HOG0000069	OG0000002	n414																																												WP_038981658.1																				WP_007936266.1	WP_064676004.1											WP_007936266.1																																																															WP_007936266.1																																																																																																									
N203.HOG0000070	OG0000002	n633																																												WP_123356100.1																					WP_064679684.1																																																																																																																																																																																			
N203.HOG0000071	OG0000002	n645																																																																	WP_064676898.1																																																																																																																																																																																			
N203.HOG0000072	OG0000002	n697																																																																	WP_064679070.1																																																																																																																																																																																			
