HOG	OG	Gene Tree Parent Clade	GCA_000014625.1	GCA_001077675.1	GCF_000006765.1	GCF_000007805.1	GCF_000009225.2	GCF_000012265.1	GCF_000013785.1	GCF_000017205.1	GCF_000026105.1	GCF_000026645.1	GCF_000046845.1	GCF_000145845.1	GCF_000145845.2	GCF_000145885.1	GCF_000146005.2	GCF_000164015.3	GCF_000172895.1	GCF_000194805.1	GCF_000204295.1	GCF_000219605.1	GCF_000237045.1	GCF_000280575.1	GCF_000293885.2	GCF_000319815.1	GCF_000327065.1	GCF_000344475.3	GCF_000349845.1	GCF_000397205.1	GCF_000413935.1	GCF_000452445.2	GCF_000452705.1	GCF_000452745.2	GCF_000510285.1	GCF_000568855.2	GCF_000696345.2	GCF_000746525.1	GCF_000759535.1	GCF_000761155.1	GCF_000813225.1	GCF_000825645.2	GCF_000828695.1	GCF_000988485.1	GCF_001020725.2	GCF_001042905.1	GCF_001269655.1	GCF_001297075.1	GCF_001400495.1	GCF_001400675.1	GCF_001412045.1	GCF_001449085.1	GCF_001477425.1	GCF_001482725.1	GCF_001515585.1	GCF_001518815.1	GCF_001543125.1	GCF_001547895.1	GCF_001547915.1	GCF_001594225.1	GCF_001605965.1	GCF_001641345.1	GCF_001647715.1	GCF_001655295.1	GCF_001655595.1	GCF_001655615.1	GCF_001661075.1	GCF_001682515.1	GCF_001708425.1	GCF_001708505.1	GCF_001730655.1	GCF_001839655.2	GCF_002007785.1	GCF_002024285.1	GCF_002091695.1	GCF_002287865.1	GCF_002318885.1	GCF_002355315.1	GCF_002356535.2	GCF_002362295.1	GCF_002442555.1	GCF_002688705.1	GCF_002736065.1	GCF_002741095.1	GCF_002864795.1	GCF_002884415.1	GCF_002905795.1	GCF_002941105.1	GCF_002966555.1	GCF_002966835.1	GCF_002980135.1	GCF_003047185.1	GCF_003410335.1	GCF_003413075.1	GCF_003415775.1	GCF_003626995.1	GCF_003671865.1	GCF_003699405.1	GCF_003699955.1	GCF_003700835.1	GCF_003850385.1	GCF_003850425.1	GCF_003851145.1	GCF_003851385.1	GCF_003851985.1	GCF_003852025.1	GCF_003940825.1	GCF_004124255.1	GCF_004135995.1	GCF_004348895.1	GCF_004683905.1	GCF_004745455.1	GCF_005080685.1	GCF_005281455.1	GCF_007833495.1	GCF_008370715.1	GCF_008693965.1	GCF_008801455.1	GCF_008801565.1	GCF_009362955.1	GCF_009497895.1	GCF_009740185.1	GCF_009755645.1	GCF_009903285.1	GCF_009911755.1	GCF_011040435.1	GCF_011397855.1	GCF_011466835.1	GCF_011765175.1	GCF_012971725.1	GCF_013200955.1	GCF_013347965.1	GCF_013374995.1	GCF_013393345.1	GCF_013403585.1	GCF_013409125.2	GCF_013425825.1	GCF_013778535.1	GCF_013911125.1	GCF_014076455.1	GCF_014190825.1	GCF_014268275.2	GCF_014268375.2	GCF_014268445.1	GCF_014268455.2	GCF_014268485.2	GCF_014268495.1	GCF_014268585.2	GCF_014268595.1	GCF_014268695.2	GCF_014268755.2	GCF_014268885.2	GCF_014269025.1	GCF_014269225.2	GCF_014522265.1	GCF_014656565.1	GCF_014855475.1	GCF_014863585.1	GCF_014863605.1	GCF_015476275.1	GCF_015712065.1	GCF_016134935.1	GCF_016599635.1	GCF_016861485.1	GCF_017166425.1	GCF_017167965.1	GCF_017798225.1	GCF_017915135.1	GCF_018388545.1	GCF_018417575.1	GCF_019139535.1	GCF_019139675.1	GCF_019139795.1	GCF_019139815.1	GCF_019139835.1	GCF_019139855.1	GCF_019139895.1	GCF_019141525.1	GCF_019285655.1	GCF_019334485.1	GCF_019614655.1	GCF_019693255.1	GCF_019719375.1	GCF_019879085.1	GCF_020025155.1	GCF_020204845.1	GCF_020422905.1	GCF_020424105.1	GCF_020917325.1	GCF_021029445.1	GCF_021233455.1	GCF_021389915.1	GCF_021398855.1	GCF_021432765.1	GCF_021495345.1	GCF_021601925.1	GCF_021605025.1	GCF_021654315.1	GCF_021725455.1	GCF_022026035.1	GCF_022049085.1	GCF_022510205.1	GCF_022533565.1	GCF_022557235.1	GCF_022807995.1	GCF_022870785.1	GCF_023207855.1	GCF_023277925.1	GCF_024023035.1	GCF_024072295.1	GCF_024397895.1	GCF_024413275.1	GCF_024448735.1	GCF_900104805.1	GCF_900104915.1	GCF_900104945.1	GCF_900105005.1	GCF_900105255.1	GCF_900105485.1	GCF_900105655.1	GCF_900105885.1	GCF_900105995.1	GCF_900106015.1	GCF_900106045.1	GCF_900116605.1	GCF_900188285.1	GCF_900235895.1	GCF_900475215.1	GCF_900475285.1	GCF_900601635.1	GCF_900625045.1	GCF_900626055.1	GCF_900636845.1	GCF_900636995.1	GCF_900682675.1	GCF_901482615.1
N23.HOG0000000	OG0000000	n97																																																																																																																																																																																																																											WP_090211933.1															
N23.HOG0000001	OG0000000	n579																																																																																																																																																																																																																				WP_090348246.1																						
N23.HOG0000002	OG0000000	n966																																																																																																																																																																																																																				WP_090348223.1																						
N23.HOG0000003	OG0000000	n1734																																																																																																																																																																																																																				WP_090348034.1																						
N23.HOG0000004	OG0000000	n1910																																																																																																																																																																																																																				WP_090348437.1																						
N23.HOG0000005	OG0000000	n2058																																																																																																																																																																																																																				WP_090349288.1																						
N23.HOG0000006	OG0000000	n2261																																																																																																																																																																																																																				WP_090348460.1																						
N23.HOG0000007	OG0000000	n2334																																																																																																																																																																																																																				WP_090348835.1							WP_090214369.1															
N23.HOG0000008	OG0000000	n2604																																																																																																																																																																																																																				WP_090348210.1																						
N23.HOG0000009	OG0000000	n2653																																																																																																																																																																																																																											WP_090215301.1															
N23.HOG0000010	OG0000000	n2890																																																																																																																																																																																																																				WP_090352176.1																						
N23.HOG0000011	OG0000000	n3600																																																																																																																																																																																																																				WP_231975690.1																						
N23.HOG0000012	OG0000001	n4																																																																																																																																																																																																																				WP_090352076.1							WP_090215341.1															
N23.HOG0000013	OG0000001	n92																																																																																																																																																																																																																				WP_090348700.1							WP_090214207.1															
N23.HOG0000014	OG0000001	n324																																																																																																																																																																																																																				WP_090348307.1							WP_090213124.1															
N23.HOG0000015	OG0000001	n411																																																																																																																																																																																																																				WP_090348238.1																						
N23.HOG0000016	OG0000001	n794																																																																																																																																																																																																																				WP_090347014.1							WP_090216368.1															
N23.HOG0000017	OG0000001	n1551																																																																																																																																																																																																																				WP_090347932.1																						
N23.HOG0000018	OG0000001	n1880																																																																																																																																																																																																																				WP_090347843.1							WP_090215371.1															
N23.HOG0000019	OG0000001	n1950																																																																																																																																																																																																																				WP_090348495.1																						
N23.HOG0000020	OG0000001	n1962																																																																																																																																																																																																																				WP_090347874.1							WP_090215287.1															
N23.HOG0000021	OG0000001	n1976																																																																																																																																																																																																																				WP_090347930.1																						
N23.HOG0000022	OG0000001	n1979																																																																																																																																																																																																																				WP_090347868.1							WP_090215309.1															
N23.HOG0000023	OG0000001	n1994																																																																																																																																																																																																																											WP_090212527.1															
N23.HOG0000024	OG0000001	n1995																																																																																																																																																																																																																				WP_090347833.1							WP_090215385.1															
N23.HOG0000025	OG0000001	n2096																																																																																																																																																																																																																				WP_090347858.1							WP_090215336.1															
N23.HOG0000026	OG0000001	n2804																																																																																																																																																																																																																				WP_090347875.1							WP_090215285.1															
N23.HOG0000027	OG0000002	n614																																																																																																																																																																																																																				WP_090348983.1																						
N23.HOG0000028	OG0000002	n1114																																																																																																																																																																																																																				WP_090351543.1							WP_090212264.1															
N23.HOG0000029	OG0000002	n1336																																																																																																																																																																																																																				WP_090348070.1																						
N23.HOG0000030	OG0000002	n1371																																																																																																																																																																																																																				WP_231975658.1																						
N23.HOG0000031	OG0000003	n107																																																																																																																																																																																																																				WP_090350804.1							WP_090212679.1															
N23.HOG0000032	OG0000003	n136																																																																																																																																																																																																																				WP_231975624.1							WP_090212262.1															
N23.HOG0000033	OG0000003	n194																																																																																																																																																																																																																				WP_090349813.1							WP_090211953.1															
N23.HOG0000034	OG0000003	n255																																																																																																																																																																																																																											WP_090212397.1															
N23.HOG0000035	OG0000003	n318																																																																																																																																																																																																																				WP_090348842.1																						
N23.HOG0000036	OG0000003	n368																																																																																																																																																																																																																											WP_090215098.1															
N23.HOG0000037	OG0000003	n790																																																																																																																																																																																																																				WP_090349354.1							WP_090213739.1															
N23.HOG0000038	OG0000003	n815																																																																																																																																																																																																																				WP_090347800.1																						
N23.HOG0000039	OG0000003	n1133																																																																																																																																																																																																																											WP_157719009.1															
N23.HOG0000040	OG0000003	n1663																																																																																																																																																																																																																				WP_090351427.1							WP_090212318.1															
N23.HOG0000041	OG0000006	n33																																																																																																																																																																																																																				WP_090349090.1																						
N23.HOG0000042	OG0000006	n38																																																																																																																																																																																																																				WP_090349131.1																						
N23.HOG0000043	OG0000006	n299																																																																																																																																																																																																																											WP_090211607.1															
N23.HOG0000044	OG0000006	n461																																																																																																																																																																																																																				WP_090348174.1																						
N23.HOG0000045	OG0000006	n726																																																																																																																																																																																																																				WP_090349880.1							WP_090212015.1															
N23.HOG0000046	OG0000006	n823																																																																																																																																																																																																																				WP_090348492.1																						
N23.HOG0000047	OG0000006	n1190																																																																																																																																																																																																																				WP_090348257.1, WP_231975797.1																						
N23.HOG0000048	OG0000006	n1295																																																																																																																																																																																																																				WP_090349214.1																						
N23.HOG0000049	OG0000009	n1																																																																																																																																																																																																																				WP_090347529.1							WP_090214949.1															
N23.HOG0000050	OG0000009	n478																																																																																																																																																																																																																				WP_090347369.1							WP_090214087.1															
N23.HOG0000051	OG0000009	n483																																																																																																																																																																																																																											WP_090214305.1															
N23.HOG0000052	OG0000009	n679																																																																																																																																																																																																																				WP_090347245.1																						
N23.HOG0000053	OG0000009	n865																																																																																																																																																																																																																				WP_090352283.1							WP_090216128.1															
N23.HOG0000054	OG0000009	n1081																																																																																																																																																																																																																				WP_090348896.1							WP_090215677.1															
N23.HOG0000055	OG0000009	n1287																																																																																																																																																																																																																				WP_090348816.1							WP_090214396.1															
N23.HOG0000056	OG0000010	n1235																																																																																																																																																																																																																				WP_090348402.1							WP_090215023.1															
N23.HOG0000057	OG0000011	n4																																																																																																																																																																																																																				WP_090350750.1							WP_090212565.1															
N23.HOG0000058	OG0000011	n281																																																																																																																																																																																																																				WP_090350752.1																						
N23.HOG0000059	OG0000012	n1159																																																																																																																																																																																																																				WP_090347237.1																						
N23.HOG0000060	OG0000012	n1189																																																																																																																																																																																																																				WP_090350929.1, WP_090347646.1																						
N23.HOG0000061	OG0000013	n312																																																																																																																																																																																																																				WP_090349680.1							WP_090211867.1															
N23.HOG0000062	OG0000013	n320																																																																																																																																																																																																																				WP_090351269.1							WP_090212443.1															
N23.HOG0000063	OG0000013	n402																																																																																																																																																																																																																				WP_090351286.1																						
N23.HOG0000064	OG0000013	n723																																																																																																																																																																																																																				WP_090348978.1																						
N23.HOG0000065	OG0000013	n890																																																																																																																																																																																																																				WP_090351841.1																						
N23.HOG0000066	OG0000013	n1102																																																																																																																																																																																																																				WP_090348259.1, WP_090350888.1, WP_090348001.1																						
N23.HOG0000067	OG0000013	n1126																																																																																																																																																																																																																				WP_090349870.1							WP_090212007.1															
N23.HOG0000068	OG0000015	n531																																																																																																																																																																																																																											WP_157718974.1															
N23.HOG0000069	OG0000015	n909																																																																																																																																																																																																																											WP_197676750.1															
N23.HOG0000070	OG0000015	n935																																																																																																																																																																																																																				WP_090347784.1																						
N23.HOG0000071	OG0000017	n3																																																																																																																																																																																																																				WP_090348592.1																						
N23.HOG0000072	OG0000017	n668																																																																																																																																																																																																																											WP_090215121.1															
